,ISBN:,Título:,Autor(es):,Ilustrador(es):,Tradutor(es),Editora:,Data de edição:,Palavras-chave:,Idade:,Nível de Leitura:,Tema:,Formato:,Língua:,Ano PNL
613,-,Só o Som por Si Só,"Barahona, António","Barahona, António; Mateus, Inês",-,N/R,2018/1/17,"poesia, Deus, amor",Maiores de 18 anos,Leitura autónoma,Poesia,Livro,Português,2018
614,-,33 Rotações,Luca ArgelLuca Argel,"Gomes, Daniela",-,N/R,2017/7/12,poesia; música; cinema.,Maiores de 18 anos,Leitura autónoma,Poesia,Livro,Português,2018
615,-,A Céu Aberto,"Domingos, Paulo da Costa","Calapez, Pedro",-,N/R,2017/2/7,poesia; lucidez; mundo,Maiores de 18 anos,Leitura autónoma,Poesia,Livro,Português,2018
616,-,Hotel Zurique,"Almeida, João","Henriques, Luís",-,N/R,2018/4/10,poesia; ironia; humor,Maiores de 18 anos,Leitura autónoma,Poesia,Livro,Português,2018
617,-,Os Ossos Dentro da Cinza,"Jorge Botelho, Emanuel","Dias, Inês",-,N/R,2018/3/7,poesia; apuro; subtileza.,Maiores de 18 anos,Leitura autónoma,Poesia,Livro,Português,2018
618,-,Paranóia,"Piva, Roberto","Capela, Mafalda",-,N/R,2018/1/2,poesia; liberdade; imaginação.,Maiores de 18 anos,Leitura autónoma,Poesia,Livro,Português,2018
619,-,A Margem de Um Livro,"Nunes, Rui",-,-,N/R,2017/5/16,poesia; singular; vida.,Maiores de 18 anos,Leitura autónoma,Poesia,Livro,Português,2018
620,978-989-641-739-0,Baixo Contínuo,"Nunes, Rui","Malévich; Vasconcelos, Carlos César",-,N/R,2017/5/9,verso; prosa; História.,Maiores de 18 anos,Leitura autónoma,Poesia,Livro,Português,2018
621,9789720726148,Tita a zebra que não queria ter riscas,"Almeida, C.","Silva, A.",S/trad.,N/R,2017/11/01,Birra; crescimento; emoções.,3-5 anos;Maiores de 18 anos,Pré-leitura;Leitura autónoma,Literatura;Vida Prática,Livro,Português,2018
622,9789720709097,"Olívia, a ovelha que não queria dormir","Almeida, C.","Silva, A. C.",S/trad.,N/R,2017/04/01,Sono; imaginação; afetos.,0-2 anos;3-5 anos;Maiores de 18 anos,Pré-leitura;Leitura autónoma,Literatura;Vida Prática,Livro,Português,2018
623,9789727932085,Não há dragões nesta história,"Carter, L.","Allwright, D.","Costa, P.",N/R,2017/08/01,Imaginação; aventura; humor.,3-5 anos;6-8 anos,Pré-leitura;Leitura inicial,Literatura,Livro,Português,2018
624,9789896735852,O País dos avós,"Soares, M. L.","Nazareth, C.",S/trad.,N/R,2017/05/01,Avós; memória; imaginação.,6-8 anos;9-11 anos,Leitura inicial;Leitura mediana,Literatura,Livro,Português,2018
625,9789899811577,O Pai Natal Verde,"Moreira, N.","Leite, A. S.",S/trad.,N/R,2017/11/01,Natal; reciclagem.,6-8 anos;9-11 anos,Leitura inicial;Leitura mediana,Literatura,Livro,Português,2018
626,9789720726872,O têpluquê e outras histórias,"Pina, M. A.","Dias, A.",S/trad.,N/R,2015/08/01,Imaginação; humor.,6-8 anos;9-11 anos,Leitura inicial;Leitura mediana,Literatura,Livro,Português,2018
627,9789898195623,Letras e Letronas - Palavras Brincalhonas,"Lourenço, L.","Lucas, M",S/trad.,N/R,2013/11/01,Letras; palavras.,3-5 anos;6-8 anos,Pré-leitura;Leitura inicial,Poesia,Livro,Português,2018
628,9789895187300,Animais excecionais,"Costa, F.","Dionísio, N.",S/trad.,N/R,2016/12/01,Animais; rimas.,6-8 anos,Leitura inicial,Literatura,Livro,Português,2018
629,9789897743160,A filha do arco-íris,"Afonso, D.","Guerreiro, C.",S/trad.,N/R,2017/11/01,x,6-8 anos;9-11 anos,Leitura inicial;Leitura mediana,Literatura,Livro,Português,2018
630,978989528616,"Conta umas histórias, que já melhora!","Branco, M. C.","Branco, M. C.",S/trad.,N/R,2017/09/01,x,6-8 anos;9-11 anos,Leitura inicial;Leitura mediana,Literatura,Livro,Português,2018
631,9789895204885,Para onde foi o lobo mau?,"Guimarães, M. C.",Titá e Zsófi,S/trad.,N/R,2017/08/01,x,6-8 anos;9-11 anos,Leitura inicial;Leitura mediana,Literatura,Livro,Português,2018
632,9789897749223,A Primavera chegará,"Gonçalves, F. A.","Capela, C.",S/trad.,N/R,2017/03/01,x,9-11 anos,Leitura mediana,Literatura,Livro,Português,2018
633,9789895208050,A amizade tem sabor a chocolate,"Spleiss, M.","Nobre, J.",S/trad.,N/R,2017/12/01,x,9-11 anos,Leitura mediana,Literatura,Livro,Português,2018
634,9789895213436,Mãe Gaivota,"Leonardo, M. J.","Neves, O.",S/trad.,N/R,2017/10/01,x,6-8 anos,Leitura inicial,Literatura,Livro,Português,2018
635,9789895215096,A ilha dos ursos cabeludos,"Souza, L.","Faísca, D.",S/trad.,N/R,2017/12/01,x,6-8 anos;9-11 anos,Leitura inicial;Leitura mediana,Literatura,Livro,Português,2018
636,9789898688637,Lisbon Poetry Orchestra,"Sampaio, Cláudia R. et al.","Moreira, Daniel",não há,N/R,2018/3/1,"poesia, música, desenho",15-18 anos;Maiores de 18 anos,Leitura autónoma,Artes;Poesia,Livro com CD e/ou DVD,Português,2018
637,978-989-702-364-4,Mensagem,"PESSOA, Fernando",--,--,N/R,2018/2/1,"Mitos, épica, nacionalismo",15-18 anos;Maiores de 18 anos,Leitura autónoma,Poesia,Livro,Português,2018
638,978-989-702-367-5,A ilustre casa de Ramires,"QUEIRÓS, Eça",--,--,N/R,2018/3/1,"romance histórico, política, literatura",Maiores de 18 anos,Leitura autónoma,Literatura,Livro,Português,2018
639,978-989-702-384-2,O alienista,"ASSIS, Machado",--,--,N/R,2018/4/1,"loucura, sanidade, Brasil",Maiores de 18 anos,Leitura autónoma,Literatura,Livro,Português,2018
640,978-972-27-2550-7,Os Maias,"QUEIRÓS, Eça",--,--,N/R,2017/12/1,"Realismo, vencidos, romance",Maiores de 18 anos,Leitura autónoma,Literatura,Livro,Português,2018
641,9789895178964,Natureza às avessas,"Gil, S.","Plessis, J.",S/trad.,N/R,2016/12/01,x,6-8 anos,Leitura inicial,Literatura,Livro,Português,2018
642,9789897743917,Vila Chã - um mar de experiências,"Azevedo, T.","Costa, B.",S/trad.,N/R,2017/04/01,x,9-11 anos;12-14 anos,Leitura mediana;Leitura autónoma,Literatura,Livro,Português,2018
643,9789897746994,"Sardas, a Duende sem nome","Gaudêncio, C.","Fernandes, A. S.",S/trad.,N/R,2017/05/01,x,6-8 anos;9-11 anos,Leitura inicial;Leitura mediana,Literatura,Livro,Português,2018
644,9789895214082,Preciso de mim,"Lourenço, A.",S/il.,S/trad.,N/R,2017/12/01,x,12-14 anos;15-18 anos,Leitura autónoma,Literatura,Livro,Português,2018
645,9789895210565,O planeta do Pai Natal e a rena dorminhoca,"Lopez, O. M.","Lopez, O. M. , Pereira, P.",S/trad.,N/R,2017/11/01,x,6-8 anos,Leitura inicial,Literatura,Livro,Português,2018
646,9789897744532,És o amor dos papás,"Jerónimo, A.","Duarte, M.",S/trad.,N/R,2017/10/01,x,3-5 anos,Pré-leitura,Literatura,Livro,Português,2018
647,9789895197262,Hoje vou ter uma maninha | Tenho um emprego a sério! Com pasta e tudo!,"Montenegro, S. V.","Vieira, J.",S/trad.,N/R,2017/05/01,x,6-8 anos,Leitura inicial,Literatura,Livro,Português,2018
648,9789895204458,Bem te queres flor,"Mendes, A. P.","Santos, M.",S/trad.,N/R,2017/11/01,x,12-14 anos,Leitura autónoma,Literatura,Livro,Português,2018
649,9789895203161,O Rei Pequenino e a Rainha Grande e Mandona,"Alves, J. M. R.","Carvalho, M.",S/trad.,N/R,2017/06/01,x,6-8 anos;9-11 anos,Leitura inicial;Leitura mediana,Literatura,Livro,Português,2018
650,9789723616125,Amigos dos meus amigos,"Azevedo, L.","Leitão, R.",S/trad.,N/R,2017/11/01,Amizade;diversão; humor.,6-8 anos;9-11 anos,Leitura inicial;Leitura mediana,Literatura,Livro,Português,2018
651,9789895209088,Mica Traquina e a Nova Amiga Bailarina,"Duarte, J.","Lou, S.",S/trad.,N/R,2017/08/01,x,3-5 anos;6-8 anos,Pré-leitura;Leitura inicial,Literatura,Livro,Português,2018
652,9789895210343,O crocodilo do Nilo,"Garrido, C., Garrido, D.","Neves, V.",S/trad.,N/R,2017/10/01,x,3-5 anos;6-8 anos,Pré-leitura;Leitura inicial,Literatura,Livro,Português,2018
653,9781548930363,As irmãs Resano,"Leandro, F.","Oliveira, S.",S/trad.,N/R,2017/07/01,x,6-8 anos;9-11 anos,Leitura inicial;Leitura mediana,Cultura e Sociedade;Literatura,Livro,Português,2018
654,9789892073712,Cuscas no castelo de Guimarães,"Santos, P.","Lima, S.",S/ trad.,N/R,2018/03/01,História de Portugal; monumentos; abelhas;,6-8 anos;9-11 anos,Leitura inicial;Leitura mediana,Cultura e Sociedade;Literatura,Livro,Português,2018
655,9789898195845,O Grilo Negrito,"Rosa, M. C. P.","Rosa, M. C. P.",S/trad.,N/R,2016/12/01,Sonho; aventura.,3-5 anos;6-8 anos,Pré-leitura;Leitura inicial,Literatura,Livro,Português,2018
656,9789896735845,A Bisa faz anos,"Gonzalez, M. T. M.","Carmo, I.",S/trad.,N/R,2017/05/01,Memórias; afetos; crescimento.,6-8 anos;9-11 anos,Leitura inicial;Leitura mediana,Literatura,Livro,Português,2018
657,789895198863,O momento antes de adormecer,"Coelho, J. B.","Mateus, A.",S/trad.,N/R,2017/02/01,x,6-8 anos;9-11 anos,Leitura inicial;Leitura mediana,Literatura,Livro,Português,2018
658,9789727932108,Faísca & Luzinhas as tartarugas dançarinas,"Bar, A.","Proctor, E.","Costa, P.",N/R,2017/09/01,Afetos; humor; imaginação.,3-5 anos;6-8 anos,Pré-leitura;Leitura inicial,Literatura,Livro,Português,2018
659,9789725766156,Histórias de pontuar,"Ramos, S.","Neto, M.",S/trad.,N/R,2012/10/01,Sinais de pontuação; histórias; imaginação.,9-11 anos,Leitura mediana,Literatura,Livro,Português,2018
660,9789899994300,Os livros que gostam de contar histórias,"Éffe, F., Luís, Z.",Marc,S/trad.,N/R,2017/09/01,Livro; história; humor.,9-11 anos,Leitura mediana,Literatura,Livro,Português,2018
661,9789720709400,E. T. o extraterreste,"Thomas, J. (adapt.)","Smith, K.","Amaral, R. (adapt.)",N/R,2018/01/01,Ficção; magia; amizade.,6-8 anos;9-11 anos,Leitura inicial;Leitura mediana,Artes,Livro,Português,2018
662,978989994881,"Venci-te, Jeremias!","Cardoso, I.","Alves, C.",S/trad.,N/R,2016/10/01,Monstros; medo; afetos.,6-8 anos;9-11 anos,Leitura inicial;Leitura mediana,Literatura,Livro,Português,2018
663,978989979184,Letras caídas,"Cardoso, I.","Brito, I.",S/trad.,N/R,2015/06/01,Palavra; história; letras.,6-8 anos;9-11 anos,Leitura inicial;Leitura mediana,Literatura,Livro,Português,2018
664,9789727932092,Um panda muito só,"Lambert, J.","Lambert, J.","Costa, P.",N/R,2017/09/01,Solidão; aprendizagem; partilha.,3-5 anos,Pré-leitura,Literatura,Livro,Português,2018
665,9789727932115,Vou amar-te para sempre,"Hart, O.","Julian, S.","Costa, P.",N/R,2017/10/01,Crescimento; viagem; afetos.,3-5 anos;6-8 anos,Pré-leitura;Leitura inicial,Literatura,Livro,Português,2018
666,9789895206322,Ouriço Coração de leão,"Juršic, B.","Gregoric, A.","Douglas, A. I. F. S. (rev.)",N/R,2017/07/01,x,6-8 anos,Leitura inicial,Literatura,Livro,Português,2018
667,9789896168018,A Mimi e os Piratas,"Thomas, V.","Paul, K.","Rafael, H.",N/R,2018/03/01,Piratas; aventura; humor.,6-8 anos,Leitura inicial,Literatura,Livro,Português,2018
668,9789896167077,Mimi e Rogério e o cavaleiro malvado,"Thomas, V.","Paul, K.","Rafael, H.",N/R,2017/11/01,Cavaleiro; aventura; humor.,6-8 anos;9-11 anos,Leitura inicial;Leitura mediana,Literatura,Livro,Português,2018
669,9789895215430,PEQUENOS eM grande,"Araújo, R. M.","Ambrósio, S.",S/trad.,N/R,2017/11/01,x,6-8 anos;9-11 anos,Leitura inicial;Leitura mediana,Literatura,Livro,Português,2018
670,9789897749360,O menino que tinha olhos quadrados,"Sá, P.","Sá, M. J.",S/trad.,N/R,2017/07/01,x,9-11 anos,Leitura mediana,Literatura;Vida Prática,Livro,Português,2018
671,9789727932078,João Camarão e o Guisado Pirata,"Carter, L.","Dyson, N.","Costa, P.",N/R,2017/07/01,x,3-5 anos;6-8 anos,Pré-leitura;Leitura inicial,Literatura,Livro,Português,2018
672,9789895204199,Filosofia para pequenos grandes filósofos,"Proença, R. M: C.","Correia, P.",S/trad.,N/R,2017/07/01,x,6-8 anos,Leitura inicial,Vida Prática,Livro,Português,2018
673,9789723615371,O livrinho dos versos para rir 2,"Moutinho, V.","Santos, F.",S/trad.,N/R,2017/02/01,Rimas; humor; tradição.,6-8 anos,Leitura inicial,Literatura,Livro,Português,2018
674,978972071979,História breve da lua,"Gedeão, A.","Prina, L.",S/trad.,N/R,2017/08/01,Lua; imaginação; humor.,12-14 anos,Leitura autónoma,Literatura,Livro,Português,2018
675,9789895212996,David e a caixa de sapatos,"Lontro, A. T.","Pimentel, S.",S/trad.,N/R,2017/12/01,x,6-8 anos;9-11 anos,Leitura inicial;Leitura mediana,Literatura,Livro,Português,2018
676,9789895209323,A menina da visão turva,"Gonçalves, C. D'A.","Neves, O.",S/trad.,N/R,2017/11/01,x,12-14 anos,Leitura autónoma,Literatura,Livro,Português,2018
677,9789896735890,Nos passos de Francisco o Pobre de Assis,"Bernabot, Y.",Vermot-Desroches,"Pernas, M. R. C.",N/R,2017/06/01,Biografia; viagem; santidade.,9-11 anos,Leitura mediana,Biografia;Cultura e Sociedade,Livro,Português,2018
678,9789896735883,"Nos passos de Teresa, a Santa de Calcutá","Pichard, M.-N.","Fauvel, C.","Pernas, M. R. C.",N/R,2017/06/01,Biografia; viagem; santidade.,9-11 anos,Leitura mediana,Biografia;Cultura e Sociedade,Livro,Português,2018
679,9789896735753,"Escola de oração para ratinhos, ratos e ratões","Gorla, S.","Ceriani, I.","Rocha, A. M.",N/R,2017/03/01,x,6-8 anos;9-11 anos,Leitura inicial;Leitura mediana,Cultura e Sociedade,Livro,Português,2018
680,9789895215546,Branca de Neve & Rosa Vermelha,"Pereira, I. G.","Murcela, I.",S/trad.,N/R,2017/12/01,x,9-11 anos;12-14 anos,Leitura mediana;Leitura autónoma,Literatura,Livro,Português,2018
681,9789897749070,Dia e Betes e a Escola da Amizade,"Manuela, F.","Teixeira, P. (capa)",S/trad.,N/R,2017/03/01,x,6-8 anos;9-11 anos;Maiores de 18 anos,Leitura inicial;Leitura mediana;Leitura autónoma,Ciências e Tecnologias;Literatura;Vida Prática,Livro,Português,2018
682,9789896417253,"O Príncipe Feliz, o Rouxinol e a Rosa e o Gigante Egoísta","Wilde, O.","Robinson, C.","Pedreira, F.",N/R,2017/06/01,x,9-11 anos;12-14 anos;Maiores de 18 anos,Leitura mediana;Leitura autónoma,Literatura,Livro,Português,2018
683,9789899978447,"A princesa, o pastor e o rei","Sardoeira, I.","Vieira, T.",S/trad.,N/R,2017/04/01,x,12-14 anos;15-18 anos;Maiores de 18 anos,Leitura autónoma,Literatura,Livro,Português,2018
684,9789722361026,Senhor Sonhador,"Hargreaves, R.","Hargreaves, R.","Cardoso, J.",N/R,2017/10/01,x,6-8 anos,Leitura inicial,Literatura,Livro,Português,2018
685,9789895218578,Prometes-me um final feliz?,"Ferreira, C.","Brandão, M. J.",S/trad.,N/R,2017/12/01,x,9-11 anos,Leitura mediana,Literatura,Livro,Português,2018
686,9789895193318,A borboleta que não sabia voar,"D'Assis, A. M.","Costa, A. G.",S/trad.,N/R,2017/08/01,x,3-5 anos;6-8 anos,Pré-leitura;Leitura inicial,Literatura,Livro,Português,2018
687,9789897743696,Ricardo no reino sem cor,"Ferreira, A.","Coelho, C.",S/trad.,N/R,2017/05/01,x,9-11 anos,Leitura mediana,Literatura,Livro,Português,2018
688,9789722360562,Senhor Dorminhoco,"Hargreaves, R.","Hargreaves, R.","Cardoso, J.",N/R,2017/06/01,x,6-8 anos,Leitura inicial,Literatura,Livro,Português,2018
689,9789722360579,Senhora Mandona,"Hargreaves, R.","Hargreaves, R.","Cardoso, J.",N/R,2017/06/01,x,6-8 anos,Leitura inicial,Literatura,Livro,Português,2018
690,9789897341496,"Não era uma vez... nem duas, nem três!","Pereira, H.","Gonçalves, A.",S/trad.,N/R,2018/01/01,x,9-11 anos,Leitura mediana,Literatura,Livro,Português,2018
691,9789899830868,O Diário de uma Abelha nada Aselha,"Baptista, N. , Pimenta, T.","Fonseca, L.",S/trad.,N/R,2017/12/01,x,12-14 anos,Leitura autónoma,Literatura,Livro,Português,2018
692,9789722359511,Cinderela Pop,"Pimenta, P.","Ramos, S. (capa)",S/ trad.,N/R,2017/01/01,x,15-18 anos,Leitura autónoma,Literatura,Livro,Português,2018
693,9789897747793,Dom Caracol e o Senhor Aranhão,"Fernandes, A.",Casa ao Lado - acasaaolado.com,S/trad.,N/R,2017/06/01,x,9-11 anos;12-14 anos,Leitura mediana;Leitura autónoma,Literatura,Livro,Português,2018
694,9789899765207,A história do galo Airó e outras mais sobre animais,"Félix, A.","Milideias, Comunicação Visual, Lda.",S/trad.,N/R,2011/12/01,Animais; humor; subversão.,9-11 anos,Leitura mediana,Literatura,Livro,Português,2018
695,9789895213214,A fada negra - O segredo do cristal,"Magalhães, C.","Serrano, J. (capa)",S/trad.,N/R,2017/11/01,x,15-18 anos,Leitura autónoma,Literatura,Livro,Português,2018
696,9789897747830,A Herança Nazi,"Inocêncio, P.","Lopes, V. (capa)",S/trad.,N/R,2017/06/01,x,Maiores de 18 anos,Leitura autónoma,Literatura,Livro,Português,2018
697,9789895191314,Cavalos Selvagens - A flor azul,"Marin, T., Lima, M.","Martins, M. (capa)",S/trad.,N/R,2016/12/01,x,12-14 anos,Leitura autónoma,Literatura,Livro,Português,2018
698,9789895217939,Era uma vez Filomena,"Pedro, F.","Cantanhede, F. (capa)",S/trad.,N/R,2018/01/01,x,12-14 anos,Leitura autónoma,Literatura,Livro,Português,2018
699,9789720727572,A maior flor do mundo,"Saramago, J.","Oliveira, I.",S/trad.,N/R,2018/03/01,Escrita; narrador; leitor.,6-8 anos;9-11 anos,Leitura inicial;Leitura mediana,Literatura,Livro,Português,2018
700,9789895203048,"Clara, os Bichos de África e a Serra da Estrela","Reis, J.","Tavares, I. (capa)",S/trad.,N/R,2017/10/01,x,12-14 anos,Leitura autónoma,Literatura,Livro,Português,2018
701,9789898580542,"Alerta Premika! - Risco Online Detetado 1 Ameaça nas Redes Sociais! - E Agora, Marta?","Manata, C., Palermo, R., Castro, T.","Gomes - Ideiascom Históri@, J. M.",S/trad.,N/R,2017/10/01,x,12-14 anos,Leitura autónoma,Literatura;Vida Prática,Livro,Português,2018
702,9789895214891,O meu Gravador de Sonhos,"Afonso, A. R.","Duarte, R.",S/trad.,N/R,2017/12/01,x,9-11 anos,Leitura mediana,Literatura,Livro,Português,2018
703,9789897748332,Crianças seguras na Internet,"Morais, R.","Dolgova, E.",S/trad.,N/R,2017/06/01,x,9-11 anos,Leitura mediana,Literatura;Vida Prática,Livro,Português,2018
704,9789899969957,Livres e Iguais,"Nobre, C., Costa, H.","Leite, A. S. (paginação e design)",S/trad.,N/R,2017/10/01,Racismo; xenofobia; interculturalidade.,15-18 anos,Leitura autónoma,Artes;Cultura e Sociedade;Vida Prática,Livro,Português,2018
705,9789899969926,Amar-te e respeitar-te,"Jimmy P, Costa, H.","Gabriela, A.",S/trad.,N/R,2018/02/01,Namoro; violência; respeito.,15-18 anos,Leitura autónoma,Artes;Cultura e Sociedade;Vida Prática,Livro,Português,2018
706,9789722361552,O quidditch através dos tempos,"Rowling, J. K.","Rowling, J. K.","Nunes, I.",N/R,2018/01/01,x,12-14 anos;15-18 anos,Leitura autónoma,Literatura,Livro,Português,2018
707,9789898857125,Diário de uma peste,"Sam, V. L.","Abesdris, M.-A.","Vasconcelos, E.",N/R,2017/05/01,x,12-14 anos,Leitura autónoma,Literatura,Livro,Português,2018
708,9789898857880,Diário de uma peste - volume 2,"Sam, V. L.","Abesdris, M.-A.","Vasconcelos, E.",N/R,2017/11/01,x,12-14 anos,Leitura autónoma,Literatura,Livro,Português,2018
709,9789722359849,Os Segredos das pirâmides,"Stilton, G.",S/il.,"Babo, C. G.",N/R,2017/03/01,x,6-8 anos;9-11 anos,Leitura inicial;Leitura mediana,Cultura e Sociedade;Literatura,Livro,Português,2018
710,9789722359832,Encontro imediato com o T-Rex,"Stilton, G.",S/il.,"Babo, C. G.",N/R,2017/03/01,x,6-8 anos;9-11 anos,Leitura inicial;Leitura mediana,Cultura e Sociedade;Literatura,Livro,Português,2018
711,9789727932153,Eu e a minha avó,"Ritchie, A.","Edgson, A.","Costa, P.",N/R,2018/01/01,x,3-5 anos,Pré-leitura,Literatura,Livro,Português,2018
712,978972793206,Acho que me esqueci de qualquer coisa,"Wolf, K.","Byrne, R.","Costa, P.",N/R,2017/07/01,Memória; rotinas; humor.,3-5 anos;6-8 anos,Pré-leitura;Leitura inicial,Literatura,Livro,Português,2018
713,9789727932122,Natal!,"Corderoy, T.","Warnes, T.","Costa, P.",N/R,2017/08/01,Natal; emoções; alegria.,3-5 anos,Pré-leitura,Literatura,Livro,Português,2018
714,9789723713817,O tamanho da minha altura (entre outras coisas),"Ramos, S.","Neto, M.",S/trad.,N/R,2009/09/01,Crescimento; imaginação; questionamento.,9-11 anos,Leitura mediana,Literatura,Livro,Português,2018
715,9789898327932,Como pode ser a democracia,Equipo Plantel,"Pina, M.","Afonso, M.",N/R,2017/04/01,Democracia;liberdade; informação.,9-11 anos,Leitura mediana,Cultura e Sociedade;Literatura,Livro,Português,2018
716,9789898327932,É assim a ditadura,Equipo Plantel,"Casal, M.","Afonso, M.",N/R,2017/04/01,Ditadura; opressão; liberdade.,9-11 anos,Leitura mediana,Cultura e Sociedade;Literatura,Livro,Português,2018
717,9789898327994,A cidade dos animais,"Negrescolor, J.","Negrescolor, J.","Oliveira, C.",N/R,2017/03/01,Histórias; animais; Natureza.,6-8 anos;9-11 anos,Leitura inicial;Leitura mediana,Artes;Cultura e Sociedade;Literatura,Livro,Português,2018
718,9789898582553,Notícias fugazes do amor,"Ribeiro, J. M.","Mayor, G. S.",S/trad.,N/R,2016/04/01,Amor; desejo; poema.,Maiores de 18 anos,Leitura autónoma,Literatura;Poesia,Livro,Português,2018
719,978-989-644-287-3,Arte Portuguesa. História essencial,"Pereira, P.",sem,sem,N/R,2017/3/1,Arte; Arquitectura; Portugal,12-14 anos;15-18 anos;Maiores de 18 anos,Leitura autónoma,Artes;Cultura e Sociedade,Livro,Português,2018
720,978-989-722-344-0,A obsessão da portugalidade,"Teotónio Almeida, O.",sem,sem,N/R,2018/2/1,Identidade portuguesa; saudade; língua portuguesa,15-18 anos;Maiores de 18 anos,Leitura autónoma,Cultura e Sociedade;Ensaio,Livro,Português,2018
721,978-989-8327-84-0,Técnicas do observador. Visão e modernidade no século XIX,"CRARY, J.",sem,Nuno Quintas,N/R,2017/1/1,Observador; Visualidade; dispositivos ópticos,15-18 anos;Maiores de 18 anos,Leitura autónoma,Artes;Ciências e Tecnologias;Cultura e Sociedade,Livro,Português,2018
722,978-989-8868-09-1,Problemas de Género. Feminismo e subversão da identidade.,"BUTLER, J.",sem,Nuno Quintas,N/R,2017/9/1,Género; Feminismo; Política,15-18 anos;Maiores de 18 anos,Leitura autónoma,Cultura e Sociedade;Ensaio,Livro,Português,2018
723,978-989-8327-82-6,O Exercício Experimental da Liberdade. Dispositivos da arte no séc. XX.,"Sardo, D.",sem,sem,N/R,2017/10/1,Arte; Vanguarda; Representação,Maiores de 18 anos,Leitura autónoma,Artes;Cultura e Sociedade,Livro,Português,2018
724,978-989-722-361-7,"Livrarias. Uma história de paixão, comércio e melancolia.","Carrión, J.",sem,Margarida Amado Acosta,N/R,2017/5/1,Livro; Livraria; Leitura,15-18 anos;Maiores de 18 anos,Leitura autónoma,Cultura e Sociedade;Literatura;Vida Prática,Livro,Português,2018
725,978-989-722-411-9,O pequeno caminho das grandes perguntas.,"Tolentino Mendonça, J.",sem,sem,N/R,2017/9/1,Espiritualidade; reflexão; religião,15-18 anos;Maiores de 18 anos,Leitura autónoma,Cultura e Sociedade;Ensaio;Vida Prática,Livro,Português,2018
726,9789892339870,Valérian Vol 8 - As Armas Vivas / Os Círculos do Poder,"Christin, Pierre","Mézières, Jean-Claude","Amaral, Paula",N/R,2017/9/1,não se aplica,15-18 anos;Maiores de 18 anos,Leitura autónoma,Banda Desenhada,Livro,Português,2018
727,9789892339863,Valérian Vol. 7 - A Ira de Hypsis / A Grande Fronteira,"Christin, Pierre","Mézières, Jean-Claude","Guimarães, Helena",N/R,2017/9/1,não se aplica,15-18 anos;Maiores de 18 anos,Leitura autónoma,Banda Desenhada,Livro,Português,2018
728,9789892339801,Valérian Vol. 6  - Estação de Brooklyn - Terminal do Cosmos/Os Espectros de Inverloch,"Christin, Pierre","Mézières, Jean-Claude","Guimarães, Helena",N/R,2017/8/1,não se aplica,15-18 anos;Maiores de 18 anos,Leitura autónoma,Banda Desenhada,Livro,Português,2018
729,978-989-8327-81-9,Diante do tempo. História da arte e anacronismo das imagens.,"Didi-Huberman, G.",sem,Luís Lima,N/R,2017/7/1,arte; imagem; tempo,Maiores de 18 anos,Leitura autónoma,Artes;Cultura e Sociedade;Ensaio,Livro,Português,2018
730,978-989-616-767-7,Da Pintura.,"Lourenço, E.",sem,sem,N/R,2017/5/1,Pintura; Estética; Modernidade,15-18 anos;Maiores de 18 anos,Leitura autónoma,Artes;Cultura e Sociedade;Ensaio,Livro,Português,2018
731,9789892339887,Valérian Vol. 9 - Reféns do Ultralum / O Órfão dos Astros,"Christin, Pierre","Mézières, Jean-Claude","Guimarães, Helena",N/R,2017/9/1,não se aplica,15-18 anos;Maiores de 18 anos,Leitura autónoma,Banda Desenhada,Livro,Português,2018
732,9789892339894,Valérian Vol. 10 - Tempos Incertos / Nas Imediações do Grande Nada,"Christin, Pierre","Mézières, Jean-Claude","Guimarães, Helena",N/R,2017/9/1,não se aplica,15-18 anos;Maiores de 18 anos,Leitura autónoma,Banda Desenhada,Livro,Português,2018
733,978-989-616-810-0,Uma viagem pela filosofia em 101 episódios.,"Rescher, N.",sem,Desidério Murcho,N/R,2018/3/1,Filosofia; reflexão,15-18 anos;Maiores de 18 anos,Leitura autónoma,Cultura e Sociedade;Ensaio;Vida Prática,Livro,Português,2018
734,9789892339900,Valérian Vol. 11 - A Ordem das Pedras / O Abretempo,"Christin, Pierre","Mézières, Jean-Claude","Amaral, Paula",N/R,2017/9/1,não se aplica,15-18 anos;Maiores de 18 anos,Leitura autónoma,Banda Desenhada,Livro,Português,2018
735,9789892339917,Valérian Vol 12 - Recordações Futuras,"Christin, Pierre","Mézières, Jean-Claude","Guimarães, Helena",N/R,2017/9/1,não se aplica,15-18 anos;Maiores de 18 anos,Leitura autónoma,Banda Desenhada,Livro,Português,2018
736,9789892341248,IRS 1. Via Fiscal/A Estratégia Hagen,"Desberg, Stephen","Vrancken, Bernard","Moreira, Sara",N/R,2018/2/1,não se aplica,15-18 anos;Maiores de 18 anos,Leitura autónoma,Banda Desenhada,Livro,Português,2018
737,978-989-616-705-9,A cigarra filosófica: a vida é um jogo?,"Suits, B.",sem,Vitor Guerreiro,N/R,2017/3/1,Jogo; lúdico; cultura,15-18 anos;Maiores de 18 anos,Leitura autónoma,Cultura e Sociedade;Ensaio;Vida Prática,Livro,Português,2018
