,ISBN,Título,Autor,Ilustrador,Tradutor,Data de edição,Editora,Idade02,Idade02.1,Nível de leitura01,Nível de leitura02,Temas01,Temas02,Temas03,Formato01,Formato02,Línguas01,Línguas02
931,978-1-4479-3133-1,The Giraffe and Pelly and Me,"Harper, Kathryn",,,2014,Pearson,6-8 anos,9-11 anos,Leitura inicial,Leitura mediana,Literatura,,,,,Inglês,
932,978-1-4479-3134-8,Shaun the sheep save the tree,"Harper, Kathryn",,,2014,Pearson,6-8 anos,9-11 anos,Leitura inicial,Leitura mediana,Literatura,,,,,Inglês,
933,978-1-4479-3134-8,Shaun the sheep save the tree,"Harper, Kathryn",,,2014,Pearson,9-11 anos,,Leitura mediana,,Literatura,,,,,Inglês,
934,978-1-4479-3135-5,Fantastic Mr Fox,"Hopkins, Andrew, adapt.",,,2014,Pearson,6-8 anos,9-11 anos,Leitura inicial,Leitura mediana,Literatura,,,,,Inglês,
935,978-1-4479-3136-2,Charlie and the chocolate factory,"Dahl, Roald ; Williams, Melanie, adapt.","Blake, Quentin ",,2014,Pearson,9-11 anos,,Leitura mediana,,Literatura,,,,,Inglês,
936,978-1-4479-3137-9,James and the giant peach,"Potter, Jocelyn, adapt.",,,2014,Pearson,9-11 anos,,Leitura mediana,,Literatura,,,,,Inglês,
937,978-1-4479-3138-6,Wallace & Gromit : a matter of loaf and death,"Shipton, Paul, adapt.",,,2014,Pearson,9-11 anos,,Leitura mediana,,Literatura,,,,,Inglês,
938,978-1-4479-3807-1,The cellist of Sarajevo,"Galloway, Steven ; Annette Keen, Annette, adapt.","Burton, Jonathan",,2013,Pearson,12-14 anos,,Leitura fluente,,Literatura,,,Livro com CD e/ou DVD,,Inglês,
939,978-1-4479-3807-1,The cellist of Sarajevo,"Galloway, Steven ; Keen, Annette, adapt. ","Burton, Jonathan",,2013,Pearson,15-18 anos,maiores de 18 anos,Leitura fluente,,Literatura,,,Livro com CD e/ou DVD,,Inglês,
940,978-1-4479-3808-8,Knife Edge,"Blackman, Malorie ; Holmes, Karen, adapt.",,,2013,Pearson,15-18 anos,maiores de 18 anos,Leitura fluente,,Literatura,,,Livro com CD e/ou DVD,,Inglês,
941,978-1-4479-3809-5,Middlemarch,"Eliot, George ; Rollason, Jane, adapt.","Balbusso, Anna ; Balbusso, Elena",,2013,Pearson,15-18 anos,maiores de 18 anos,Leitura fluente,,Literatura,,,Livro com CD e/ou DVD,,Inglês,
942,978-1-4479-6157-4,Sadie's big day at the office,"Trappe, Tonya ","Gremaud, Nicolas",,2014,Pearson,9-11 anos,,Leitura mediana,,Literatura,,,Livro com CD e/ou DVD,,Inglês,
943,978-1-4479-6750-7,The adventures of Huckleberry Finn,"Twain, Mark, pseud. ; Votaw, John, adapt.","Garcia, José Luis N.",,2015,Pearson,12-14 anos,,Leitura fluente,,Literatura,,,,,Inglês,
944,978-1-4479-6750-7,The adventures of Huckleberry Finn,"Twain, Mark, pseud. ; Votaw, John, adapt. ","Garcia, José Luís N.",,2015,Pearson,15-18 anos,maiores de 18 anos,Leitura fluente,,Literatura,,,,,Inglês,
945,978-1-4479-6760-6,Stories of courage,"Gray, Clare",,,2015,Pearson,12-14 anos,,Leitura fluente,,Literatura,,,Livro com CD e/ou DVD,,Inglês,
946,978-1-4479-6761-3,Sweeney Todd,"Taylor, Nancy, adapt.","Jansson, A.",,2016,Pearson,15-18 anos,maiores de 18 anos,Leitura fluente,,Literatura,,,Livro com CD e/ou DVD,,Inglês,
947,978-1-4479-6766-8,About a boy,"Hornby, Nick ; Collins, Anne, adapt. ","García, Iván",,2015,Pearson,15-18 anos,maiores de 18 anos,Leitura fluente,,Literatura,,,Livro com CD e/ou DVD,,Inglês,
948,978-1-4479-6776-7,The Street Lawyer,"Grisham, John ; Dean, Michael, adapt. ",,,2016,Pearson,15-18 anos,maiores de 18 anos,Leitura fluente,,Literatura,,,Livro com CD e/ou DVD,,Inglês,
949,978-1-84121-098-8,Down by the cool of the pool,"Mitton, Tony","Parkwer-Rees, Guy",,2002,Orchard Picture Books,3-5 anos,6-8 anos,Pré-leitura,Leitura inicial,Literatura,,,,,Inglês,
950,978-1-84270-278-9,The Really Rude Rhino,"Willis, Jeanne ","Ross, Tony",,2006,Gatafunho Ana Paula Faria Edições,3-5 anos,6-8 anos,Pré-leitura,Leitura inicial,Literatura,,,,,Inglês,
951,978-1-84270-298-7,I want a friend,"Ross, Tony","Ross, Tony",,2005,Gatafunho Ana Paula Faria Edições,9-11 anos,,Leitura mediana,,Literatura,,,,,Inglês,
952,978-1-84270-743-2,I'm coming to get you,"Ross, Tony","Ross, Tony",,2008,Puffin U.K.,3-5 anos,6-8 anos,Pré-leitura,Leitura inicial,Literatura,,,,,Inglês,
953,978-1-84614-383-0,The Giving Tree,"Silverstein, Shel",,,2001,Particular Books,6-8 anos,9-11 anos,Leitura inicial,Leitura mediana,Literatura,,,,,Inglês,
954,978-1-84616-786-7,Giraffes can't dance,"Andreae, Giles ","Parker-Rees, Guy",,2007,Hachette Children's Books,3-5 anos,6-8 anos,Pré-leitura,Leitura inicial,Literatura,,,,,Inglês,
955,978-1-84616-885-7,I am too absolutely small for school : featuring Charlie and Lola,"Child, Lauren",,,2007,Candlewick,3-5 anos,6-8 anos,Pré-leitura,Leitura inicial,Cultura e Sociedade,,,,,Inglês,
956,978-1-84616-886-4,I will not ever never eat a tomato,Child Lauren,,,2007,Orchard Books,3-5 anos,6-8 anos,Pré-leitura,Leitura inicial,Literatura,,,,,Inglês,
957,978-1-84643-126-5,Mrs. Honey's hat,"Adams, Pam ","Adams, Pam",,2007,Key4Kids,9-11 anos,,Leitura mediana,,Literatura,,,,,Inglês,
958,978-1-84643-182-1,Ten little ducks,"Anderson, Airlie","Anderson, Airlie ",,2009,Key4Kids,3-5 anos,6-8 anos,Pré-leitura,Leitura inicial,Literatura,,,,,Inglês,
959,978-1-84643-248-4,The lion's share,"Lightfoot, Martha ","Lightfoot, Martha ",,2008,Key4Kids,3-5 anos,6-8 anos,Pré-leitura,Leitura inicial,Literatura,,,,,Inglês,
960,978-1-846430-20-6,The emperor's new clothes,"Edgson, Alison ","Edgson, Allison",,2006,Child's Play International Key4Kids,9-11 anos,,Leitura mediana,,Literatura,,,,,Inglês,
961,978-1-901223-43-9,My Granny went to market : a round-the-world counting rhyme,"Blackstone, Stella ","Corr, Christopher",,1998,Barefoot Books,9-11 anos,,Leitura mediana,,Poesia,,,,,Inglês,
962,978-1-904550-20-4,Jack and the Beanstalk,"Vagnozzi, Barbara ","Vagnozzi, Barbara",,2005,Child's Play International Key4Kids,9-11 anos,,Leitura mediana,,Literatura,,,,,Inglês,
963,978-1-904550-61-7,Down in the jungle,,"Squillace, Elisa",,2005,Key4Kids,3-5 anos,6-8 anos,Pré-leitura,Leitura inicial,Literatura,,,Livro álbum,,Inglês,
964,978-1-904550-72-3,Three billy goats gruff,"Edgson, Alison ","Edgson, Alison ",,2006,Child's Play International Key4Kids,9-11 anos,,Leitura mediana,,Literatura,,,,,Inglês,
965,978-1-908786-00-5,Sad tales for me : a bio(dog)raphy,"Barklee, James",,,2012,Far Far Away Books,9-11 anos,,Leitura mediana,,Literatura,,,,,Inglês,
966,978-1-908786-03-6,The witch & the dog A lesson in manners,"McMillan, Sue","Davey, Owen",,2012,Far Far Away Books,3-5 anos,6-8 anos,Pré-leitura,Leitura inicial,Literatura,,,,,Inglês,
967,978-1-908786-04-3,George and the knight,"McMillan, Sue ","Jenkins, Ellie",,2012,Far Far Away Books,6-8 anos,9-11 anos,Leitura inicial,Leitura mediana,Literatura,,,,,Inglês,
968,978-1-908786-06-7,Sylvester and the New Year,"Morike, Edward","Pidgen, Enneline ",,2012,Far Far Away Books,6-8 anos,9-11 anos,Leitura inicial,Leitura mediana,Literatura,,,,,Inglês,
969,978-1-908786-70-8,Mouse and the moon made of cheese,"Russell, Dean","Elliott, Chloe",,2013,Far Far Away Books,3-5 anos,6-8 anos,Pré-leitura,Leitura inicial,Literatura,,,,,Inglês,
970,978-1-908786-79-1,A colourful wish,"Grammont, Noel","Tyler, Gillian",,2015,Far Far Away Books,6-8 anos,9-11 anos,Leitura inicial,Leitura mediana,Literatura,,,,,Inglês,
971,978-1-909-531-23-9,If I stay,"Forman, Gayle",,,2009,Definitions,15-18 anos,maiores de 18 anos,Leitura fluente,,Literatura,,,,,Inglês,
972,978-1-909-531-23-9,If I stay,"Forman, Gayle",,,2009,Random House Children's Publishers,15-18 anos,maiores de 18 anos,Leitura fluente,,Literatura,,,,,Inglês,
973,978-1401308582,The five people you meet in heaven,"Albom, Mitch ; Taylor, Nancy, adapt.",,,2006,Pearson,15-18 anos,maiores de 18 anos,Leitura fluente,,Literatura,,,Livro com CD e/ou DVD,,Inglês,
974,978-1408221020,Speed queens,"Smith, Rod","Camagajevac, Seb",,2010,Pearson,9-11 anos,,Leitura mediana,,Literatura,,,Livro com CD e/ou DVD,,Inglês,
975,978-14472-6322-7,Fangirl,"Rowell, Rainbow",,,2014,Macmillan,12-14 anos,,Leitura fluente,,Literatura,,,,,Inglês,
976,978-14472-6322-7,Fangirl,"Rowell, Rainbow",,,2014,Macmillan,15-18 anos,maiores de 18 anos,Leitura fluente,,Literatura,,,,,Inglês,
977,978-2-215-05300-3,A Idade Média,"Coppin, Brigitte ; Joly, Dominique",,Centrallivros,2004,Fleurus,9-11 anos,,Leitura mediana,,Cultura e Sociedade,,,Livro álbum,,Português,
978,978-2-215-05445-0,Invenções e descobertas,,,"Cordeiro, Manuel",2006,Fleurus,6-8 anos,,Leitura inicial,,Ciências e Tecnologia,,,,,Português,
979,978-2-215-06418-8,O Universo,"Bon, Pierre","Bon, Pierre","Pereira, Carlos... [et al.]",2003,Panini Books,12-14 anos,,Leitura fluente,,Ciências e Tecnologia,,,,,Português,
980,978-2-215-06549-4,Dicionário por imagens do Pai Natal,"Beaumont, Émilie (Ilustr. Sophie Toussaint et al.)","Toussaint, Sophie... [ et al. ]",,2002,Fleurus,3-5 anos,6-8 anos,Pré-leitura,Leitura inicial,Cultura e Sociedade,,,,,Português,
981,978-2-215-06951-5,Dicionário por imagens das invenções,"Beaumont, Émilie ; Simon, Philippe ; Bouet, Marie-Laure","Hus-David, Colette","Morais, Gabriela",2003,Fleurus Centralivros,3-5 anos,6-8 anos,Pré-leitura,Leitura inicial,Ciências e Tecnologia,,,Livro álbum,,Português,
982,978-2-215-08122-7,As ciências : respostas às perguntas das crianças,"Sagnier, C","Bon, P.... [et al.]","Abreu, Maria do Carmo",2004,Fleurus - Panini,6-8 anos,,Leitura inicial,,Ciências e Tecnologia,,,,,Português,
983,978-2-215-08354-2,Dicionário por imagens dos transportes,"Beaumont, Émile et al.","C., Rafaelle... [et al.]","Morais, Gabriela",2005,Centralivros,6-8 anos,,Leitura inicial,,Ciências e Tecnologia,,,Livro álbum,,Português,
984,978-2-215-08367-2,As grandes explorações,"Beaumont, Émilie ; Deraime, Sylvie",,"Morais, Gabriela",2005,Centralivros,12-14 anos,,Leitura fluente,,Cultura e Sociedade,,,,,Português,
985,978-2-215-10324-0,A ecologia,"Beaumont, Émilie ; Sagnier, Christine ; Martins, A. C., rev. técn.","Guérin, Jean-Luc","Rodrigues, Luísa",2008,Centralivros,3-5 anos,6-8 anos,Pré-leitura,Leitura inicial,Ciências e Tecnologia,,,,,Português,
986,978-2-215-10593-0,Imagem : as civilizações antigas,"Perrudin, Françoise, textos","Lemayeur, M.-C... [et al.]","Correia, Alex.",2008,Fleurus,12-14 anos,,Leitura fluente,,Cultura e Sociedade,,,,,Português,
987,978-2-915540-46-8,O pequeno azulejo,Tosca,Tosca,"Torres, Manuela",2008,Chandeigne,9-11 anos,,Leitura mediana,,Artes,Literatura,,,,Português,
988,978-24-1375-9,O maluquinho da bola,"Soares, Luísa Ducla","Leitão, Pedro",,2005,Livros Horizonte,3-5 anos,,Pré-leitura,,Literatura,,,Livro álbum,,Português,
989,978-711-031-029-8,A ilustre casa de Ramires,"Queiroz, Eça de",,,2015,Livros do Brasil,15-18 anos,,Leitura fluente,,Literatura,,,,,Português,
990,978-84-15250-13-5,Mr. Anderson,"Fernández-Abascal, Ana ","Morais, Flávio",,2011,Faktoria de Livros,6-8 anos,,Leitura inicial,,Literatura,,,,,Inglês,
991,978-84-15250-14-2,Arthur,"González, Xosé Manuel «Oli»","Taeger, Marc",,2011,Faktoria de Livros,3-5 anos,6-8 anos,Pré-leitura,Leitura inicial,Literatura,,,Livro álbum,,Inglês,
992,978-84-16226-06-1,O rebanho,"Mazo, Margarita del",Guridi,"Oliveira, Alexandre Nunes",2014,La Fragatina,9-11 anos,,Leitura mediana,,Literatura,,,Livro álbum,,Português,
993,978-84-16226-19-1,KIWI um passáro bem esquisito,"Isern, Susanna","Luciani, Rebeca",,2014,Edições La Fragatina,6-8 anos,,Leitura inicial,,Literatura,,,Livro álbum,,Português,
994,978-84-16566-03-7,"O ursinho, a velha girafa e o muro de pedra","Isern, Susanna","Zacarías, Betania","Aguiar, Ana",2015,Edições la fragatina,9-11 anos,,Leitura mediana,,Literatura,,,,,Português,
995,978-84-471-0177-1,A história do homem,"Albou-Tabart, Sylvie... [et al.]","Gallois, Fabienne","Pires, Catarina",2005,Salvat Editores,9-11 anos,,Leitura mediana,,Cultura e Sociedade,,,Livro álbum,,Português,
996,978-84-471-0859-6,A de Alice,"Foufelle, Dominique","Gallois, Fabienne",Teresa,2005,Salvat Editores,6-8 anos,,Leitura inicial,,Literatura,,,Livro álbum,,Português,
997,978-84-471-0860-2,B de Bruno,"Soldevila, Michèle","Surber, Sophie","Serrano, Teresa",2001,Salvat Editores,6-8 anos,,Leitura inicial,Leitura fluente,Literatura,,,Livro álbum,,Português,
998,978-84-471-0921-0,A educação,"Albou-Tabart, Sylvie... [et al.]",,"Pires, Catarina",2007,Salvat Editores,3-5 anos,6-8 anos,Pré-leitura,Leitura inicial,Cultura e Sociedade,,,Livro álbum,,Português,
999,978-84-832-3485-3,New Zealand,"Johnson, Margaret","Berthoud, Christophe ",,2009,Cambridge University Press,12-14 anos,,Leitura fluente,,Cultura e Sociedade,,,Livro com CD e/ou DVD,,Inglês,
1000,978-84-832-3485-3,New Zealand,"Johnson, Margaret ","Berthoud, Christophe",,2009,Cambridge University Press,15-18 anos,maiores de 18 anos,Leitura fluente,,Cultura e Sociedade,,,Livro com CD e/ou DVD,,Inglês,
1001,978-84-832-3493-8,Bullring kid and county cowboy,"Clover, Louise ","Asension, Albert",,2009,Oxford University Press,12-14 anos,,Leitura fluente,,Literatura,,,Livro com CD e/ou DVD,,Inglês,
1002,978-84-832-3493-8,Bullring kid and county cowboy,"Clover, Louise ","Asensio, Albert",,2009,Oxford University Press,15-18 anos,maiores de 18 anos,Leitura fluente,,Literatura,,,Livro com CD e/ou DVD,,Inglês,
1003,978-84-832-3506-5,Killer bees,"Rollason, Jane ","Asensio, Albert",,2009,Cambridge University Press,12-14 anos,,Leitura fluente,,Ciências e Tecnologia,,,Livro com CD e/ou DVD,,Inglês,
1004,978-84-832-3506-5,Killer bees,"Rollason, Jane ","Asensio, Albert",,2009,Cambridge University Press,15-18 anos,maiores de 18 anos,Leitura fluente,,Ciências e Tecnologia,,,Livro com CD e/ou DVD,,Inglês,
1005,978-84-832-3513-3,Gone! ,"Johnson, Margaret ","Knott, Lyn",,2009,Cambridge University Press,9-11 anos,,Leitura mediana,,Literatura,,,Livro com CD e/ou DVD,,Inglês,
1006,978-84-832-3529-4,Tales of terror,"Pöe, Edgar Allan... [et al.] ; R., Jane, adapt.","L. , Kevin... [ et al. ]",,2009,Cambridge University Press,12-14 anos,,Leitura fluente,,Literatura,,,Livro com CD e/ou DVD,,Inglês,
1007,978-84-832-3529-4,Tales of terror,"Pöe, Edgar Allan... [ et al. ] ; R., Jane, adapt. ","L., Kevin... [ et al. ]",,2009,Cambridge University Press,15-18 anos,maiores de 18 anos,Leitura fluente,,Literatura,,,Livro com CD e/ou DVD,,Inglês,
1008,978-84-832-3540-9,The mind map,"Morrison, David",,,2009,Cambridge University Press,12-14 anos,,Leitura fluente,,Literatura,,,Livro com CD e/ou DVD,,Inglês,
1009,978-84-832-3540-9,The mind map,"Morrison, David",,,2009,Cambridge University Press,15-18 anos,maiores de 18 anos,Leitura fluente,,Literatura,,,Livro com CD e/ou DVD,,Inglês,
1010,978-84-832-3552-2,A little trouble in Dublin,"MacAndrew, Richard",,,2010,Cambridge University Press,9-11 anos,,Leitura mediana,,Literatura,,,Livro com CD e/ou DVD,,Inglês,
1011,978-84-832-3556-0,The mayor of Casterbridge,"Hardy, Thomas ; Herdon, Tim, adapt. ",,,2009,Cambridge University press,15-18 anos,maiores de 18 anos,Leitura fluente,,Literatura,,,Livro com CD e/ou DVD,,Inglês,
1012,978-84-832-3563-8,Two worlds,"Everett-Camplin, Helen ","McNally, John",,2010,Cambridge University Press,12-14 anos,,Leitura fluente,,Literatura,,,Livro com CD e/ou DVD,,Inglês,
1013,978-84-832-3563-8,Two worlds,"Everett-Camplin, Helen ","McNally, John",,2010,Cambridge University Press,15-18 anos,maiores de 18 anos,Leitura fluente,,Literatura,,,Livro com CD e/ou DVD,,Inglês,
1014,978-84-832-3568-3,Amazing young sports people,"Loader, Mandy ","Oliver, Aleix Pons",,2010,Cambridge University Press,12-14 anos,,Leitura fluente,,Cultura e Sociedade,,,Livro com CD e/ou DVD,,Inglês,
1015,978-84-832-3568-3,Amazing young sports people,"Loader, Mandy ","Oliver, Aleix Pon",,2010,Cambridge University Press,15-18 anos,maiores de 18 anos,Leitura fluente,,Cultura e Sociedade,,,Livro com CD e/ou DVD,,Inglês,
1016,978-84-832-3756-4,Quick change,"Johnson, Margaret",,,2010,Cambridge University Press,9-11 anos,,Leitura mediana,,Literatura,,,Livro com CD e/ou DVD,,Inglês,
1017,978-84-8323-662-8,Freddie's war,"Rollason, Jane",,,2010,Cambridge University Press,15-18 anos,maiores de 18 anos,Leitura fluente,,Literatura,,,Livro com CD e/ou DVD,,Inglês,
1018,978-84-8323-684-0,Parties and presents : three short stories With 1 Audio CD,"Mansfield, Katherine ; Johnson, Margaret, adapt.",Blake,,2010,Cambridge University Press,12-14 anos,,Leitura fluente,,Literatura,,,Livro com CD e/ou DVD,,Inglês,
1019,978-84-8323-684-0,Parties and presents : three short stories With 1 Audio CD,"Mansfield, Katherine ; Johnson, Margaret, adapt. ",Blake,,2010,Cambridge University Press,15-18 anos,maiores de 18 anos,Leitura fluente,,Literatura,,,Livro com CD e/ou DVD,,Inglês,
1020,978-84-8323-916-2,Summer sounds,"Bentley, Marla",,,2010,Cambridge University Press,9-11 anos,,Leitura mediana,,Ciências e Tecnologia,,,Outro,,Inglês,
1021,978-84-8464-678-5,The little white rabbit,"Ballesteros, Xosé","Villán, Óscar",,2009,Kalandraka,6-8 anos,,Leitura inicial,,Literatura,,,,,Inglês,Espanhol
1022,978-84-8464-680-8,Amelia wants a dog,"Bowley, Tim","Neves, André",,2008,OQO Books,9-11 anos,,Leitura mediana,,Literatura,,,Livro álbum,,Inglês,
1023,978-84-8464-681-5,So close,"Colombo, Natalia",,"Sarfatti, Esther",2008,Kalandraka,3-5 anos,6-8 anos,Pré-leitura,Leitura inicial,Literatura,,,,,Inglês,Espanhol
1024,978-84-8464-683-9,A different present,"Azcona, Marta de Arriba ","Alcalaia, Rosa O.","Sarfatti, Esther",2008,Kalandraka,6-8 anos,,Leitura inicial,,Literatura,,,,,Inglês,Espanhol
1025,978-84-8464-684-6,A big dream,"Ugalde, Felipe ","Ugalde, Felipe ",,2009,Kalandraka,6-8 anos,,Leitura inicial,,Literatura,,,,,Inglês,Espanhol
1026,978-84-8464-695-2,The shy fly's house,"Mejuto, Eva ","Mora, Sergio",,2009,Kalandraka,9-11 anos,,Leitura mediana,,Literatura,,,,,Inglês,
1027,978-84-8464-745-4,Dancing in the clouds,"Starkoff, Vanina ","Starkoff, Vanina","Brokenbrow, Jon",2010,Kalandraka,9-11 anos,,Leitura mediana,,Literatura,,,,,Inglês,
1028,978-84-8464-746-1,A taste of the moon,"Grejniec, Michael",,"Brokenbrow, Jon",2010,Kalandraka,9-11 anos,,Leitura mediana,,Literatura,,,,,Inglês,
1029,978-84-8464-750-8,The top and the bottom,"Valdivia, Paloma","Valdivia, Paloma",,2010,Kalandraka,6-8 anos,,Leitura inicial,,Literatura,,,Livro álbum,,Inglês,
1030,978-84-8464-775-1,Jamíe planted an acorn,"Bowley, Tim ","Vilpi, Inês",,19--?,Kalandraka,3-5 anos,6-8 anos,Pré-leitura,Leitura inicial,Literatura,,,,,Inglês,
1031,978-84-8464-791-1,Little cat and the ball,"Rosell, Joel Franz ","Kitzing, Constanze v. ","Brokenbrow, Jon",2012,Kalandraka,3-5 anos,6-8 anos,Pré-leitura,Leitura inicial,Literatura,,,,,Inglês,Espanhol
1032,978-84-8464-808-6,Little cat and the snow,"Rosell, Joel Franz","Kitzing, Constanze v. ","Brokenbrow, Jon",2013,Kalandraka,3-5 anos,6-8 anos,Pré-leitura,Leitura inicial,Literatura,,,,,Inglês,
1033,978-84-8464-810-9,The little red hen,"Martínez, Pilar, adapt. ","Somá, Marco","Heras, Carlos",2012,Kalandraka,3-5 anos,6-8 anos,Pré-leitura,Leitura inicial,Literatura,,,,,Inglês,
1034,978-84-9024-116-5,O corpo humano,"Bouet M. L. ; Simon, P.","Dayan, Jacques","Pita, Paulo",2012,Panini Books,12-14 anos,,Leitura fluente,,Ciências e Tecnologia,,,,,Português,
1035,978-84-9024-418-0,O Espaço,"Lepetit, Emmanuelle","Daniel, François ; De Chambourcy, Anne",,2013,Panini Books,3-5 anos,6-8 anos,Pré-leitura,Leitura inicial,Ciências e Tecnologia,,,Livro álbum,,Português,Espanhol
1036,978-84-9024-421-0,O mar,"Lepetit, Emmanuelle ; Beaumont, Jack","Ahrweille, Lucile",,2013,Panini Books,3-5 anos,,Pré-leitura,Leitura inicial,Ciências e Tecnologia,,,Livro álbum,,Português,
1037,978-84-9094-045-7,Corpo humano,"Lepetit, Emmanuelle ; Beaumont, Jacques","Daniel, François ; Chambourcy, Anne",,2915,Panini Books,3-5 anos,6-8 anos,Pré-leitura,Leitura inicial,Ciências e Tecnologia,,,Livro álbum,,Português,Espanhol
1038,978-84-9094-425-7,Histórias com a minha mamã,,,,2016,Panini España,0-2 anos,,Pré-leitura,,Vida Prática,,,Livro álbum,,Português,Espanhol
1039,978-84-9094-428-8,Histórias de princesas,"Rafaella, pseud.","Brunelet, Madeleine ; Vanhoof, Axelle ; Lescoat, Ellen",Addenda,2015,Panini Books,0-2 anos,,Pré-leitura,,Vida Prática,,,Livro álbum,,Português,
1040,978-84-9094-431-8,Histórias de animais,"Biondi, Ghislaine ; Carboneill, Bénédicte","Luthringer, Mélisande",Addenda,2015,Panini España,0-2 anos,,Pré-leitura,,Vida Prática,,,Livro álbum,,Português,
1041,978-84-9094-690-9,Formas : contrários,"Hogan, Martina",,,[200-?],Panini Books,0-2 anos,,Pré-leitura,,Artes,,,Livro álbum,,Português,
1042,978-84-9094-693-0,Formas,"Hogan, Martina",,Addenda,2016,Panini España,0-2 anos,,Pré-leitura,,Ciências e Tecnologia,,,Livro álbum,,Português,
1043,978-84-9094-699-2,Consigo contar,"Hogan, Martina",,,[2016],Panini Books,0-2 anos,,Pré-leitura,,Ciências e Tecnologia,,,Livro álbum,,Português,
1044,978-84-92608-39-3,The three billy goats,"González, Olalla ","Fernández, Frederico","López, Susana",2011,Kalandraka,3-5 anos,6-8 anos,Pré-leitura,Leitura inicial,Literatura,,,,,Inglês,
1045,978-84-942502-8-6,Os caminhos das árvores,"Pep, Bruno","Cabassa, Mariona",,2014,Edições La Fragatina,9-11 anos,,Leitura mediana,,Literatura,,,Livro álbum,,Português,
1046,978-84-942910-0-5,O fantasma de Canterville,"Wilde, Oscar ; Salvador, Eugénia, adapt.",,"Salvador, Eugénia",20--?,Luso Reads Editora,12-14 anos,,Leitura mediana,,Literatura,,,,,Português,
1047,978-84-96573-30-7,Mister corvo,"Morandeira, Luísa","Quarello, Maurizio A. C.","Batalim, Dora",2006,OQO,6-8 anos,,Leitura inicial,,Literatura,,,Livro álbum,,Português,
1048,978-84-96573-34-5,O segredo do rei curro,Patacrúa,"Mora, Sérgio","Batalim, Dora",2006,OQO,6-8 anos,,Leitura inicial,Leitura fluente,Literatura,,,Livro álbum,,Português,
1049,978-84-96573-38-3,Pedra pau e palha,"Presunto, Ana","Rodés, Josep","Batalim, Dora",2006,OQO,3-5 anos,,Pré-leitura,,Literatura,,,Livro álbum,,Português,
1050,978-84-96573-41-3,O Tom Ratão e a Rata Tomaza,"Núñez, Marisa","Cimatoribus, Alessandra","Batalim, Dora",2006,OQO,3-5 anos,,Pré-leitura,,Literatura,,,Livro álbum,,Português,
1051,978-84-96573-49-9,O loboferoz,"Patacrúa, adapt.",Chené,"Batalim, Dora",2006,OQO,3-5 anos,,Pré-leitura,,Literatura,,,Livro álbum,,Português,
1052,978-84-96573-70-3,"Corre corre, cabacinha","Mejuto, Eva, recont.","Letria, André","Batalim, Dora",2006,OQO,6-8 anos,,Leitura inicial,Leitura fluente,Literatura,,,Livro álbum,,Português,
1053,978-84-96573-74-1,O rato solteiro,"Liván, Paco","Torrão, Marta","Batalim, Dora",2007,OQO,3-5 anos,,Pré-leitura,,Literatura,,,Livro álbum,,Português,
1054,978-84-96573-78-9,A viagem das borboletas,"Carbonell, Paula","Gómez, Chené","Batalim, Dora",2007,OQO,3-5 anos,,Pré-leitura,Leitura inicial,Ciências e Tecnologia,,,Livro álbum,,Português,
1055,978-84-96573-81-9,O grande livro dos retratos de animais,"Junakovic, Svjetlan ","Junakovic, Svjetlan ","Batalim, Dora",2006,OQO,12-14 anos,,Leitura fluente,,Artes,,,,,Português,
1056,978-84-96788-31-2,Caracol e formiga,"Quintero, Armando","Letria, André","Batalim, Dora",2009,OQO,0-2 anos,,Pré-leitura,,Literatura,,,Livro álbum,,Português,
1057,978-84-96788-32-9,Caracol e lagarta,"Quintero, Armando","Letria, André","Batalim, Dora",2009,OQO,0-2 anos,,Pré-leitura,,Literatura,,,Livro álbum,,Português,
1058,978-84-96788-57-2,Chocolata,"Núñez, Marisa","Bansch, Helga","Batalim, Dora",2007,OQO,6-8 anos,,Leitura inicial,,Literatura,,,Livro álbum,,Português,
1059,978-84-96788-84-8,The sultan and the mice,"Boer, Joan de","Darné, Txell",,2009,OQO Books,9-11 anos,,Leitura mediana,,Literatura,,,,,Inglês,
1060,978-84-9871-005-2,A princesa de Aljustrel,"Patacrúa, Perica, adapt.","Solchaga, Javier","Batalim, Dora",2008,OQO,3-5 anos,,Pré-leitura,,Literatura,,,Livro álbum,,Português,
1061,978-84-9871-006-9,Princess Allbring,Patacrúa ,"Solchaga, Javier",,2008,OQO Books,9-11 anos,,Leitura mediana,,Literatura,,,,,Inglês,
1062,978-84-9871-014-4,Os três porquinhos,"Méndez, Raquel, adapt.","Bansch, Helga","Batalim, Dora",2011,OQO,3-5 anos,,Pré-leitura,,Literatura,,,Livro álbum,,Português,
1063,978-84-9871-026-7,Oscar the Ostrich,"Chaundler, Rachel","Carvalho, Bernardo",,2009,OQO Books,3-5 anos,6-8 anos,Pré-leitura,Leitura inicial,Literatura,,,,,Inglês,
1064,978-84-9871-029-8,Livro de contar,"Bruno, Pep","Cabassa, Mariona","Batalim, Dora",2008,OQO,3-5 anos,,Pré-leitura,,Literatura,,,Livro álbum,,Português,
1065,978-84-9871-044-1,Bella,"Chaundler, Rachel ","Carvalho, Bernardo",,2009,OQO Books,3-5 anos,6-8 anos,Pré-leitura,Leitura inicial,Literatura,,,,,Inglês,
